country,director,genre,title,year
,Ханун Брамантйо,"драматический фильм,[1]",?,
,Иван Гаврилюк,детектив,4 листа фанеры,1992
,Ахим фон Боррис,"военная, ,драма,боевик",4 дня в мае,2011
,Абель Феррара,"драма,фантастика",4:44. Последний день на Земле,2011
,Радомир Василевский,комедия,4:0 в пользу Танечки,1982
,Спайк Ли,Исторический документальный,4 маленькие девочки,1997
,Ноэль Кларк,"триллер,электро-хаус,, ,соул,, ,R’n’B,, ,хип-хоп,, ,грайм",4.3.2.1,2010
"Финляндия,Норвегия,Швеция,Дания","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара","драма, комедия",4 x 4,1965
Румыния,Кристиан Мунджиу,"психологическая ,драма","4 месяца, 3 недели и 2 дня",2007
,Питер Гринуэй,"документальный,, ,музыкальный",4 американских композитора,1983
,Илья Хржановский,драма,Четыре,2004
,Гэбриэль Коуэн,драма,3 ночи в пустыне,2014
,Рассел Малкэхи,"биографическая, ,спортивная, ,драма",3: История Дейла Эрнхардта,
,Николас Рэй,"драма,, ,исторический,, ,военный",55 дней в Пекине,1963
,Ренни Харлин,"военный,  ,боевик",5 дней в августе,2011
,Бенни Бум,"байопик,драма,боевик",2pac: Легенда,2017
,Раджкумар Хирани,"комедия, / ,драма",3 идиота,2009
,Никита Михалков,документальный фильм,55,2007
,Джейсон Коннери,"фантастика,фильм ужасов",51,2011
,Тео Эвгерино,Драма,50 таблеток,2006
,Стюарт Мейн,драма,50 оттенков голубого,2005
,Питер Сигал,романтическая комедия,50 первых поцелуев,2004
,Генрих Габай,"драма,, ,приключения",49 дней,
,Карл Ринш,"фэнтези,боевик,драма",47 ронинов,2013
,Гари Леннон,драма,45-й калибр,2006
,Эндрю Хэйг,драма,45 лет,2015
,Ив Симоно.,"боевик, драма, криминал.",44 минуты: Бойня в северном Голливуде,2003
США,Майкл Леманн,кинокомедия,40 дней и 40 ночей,2002
,Эльчин Мусаоглу,драма,40-я дверь,2009
,Брайан Хелгеленд,"драма,спортивный фильм",42 / Номер 42,
,Ллойд Бэкон,"комедия,мюзикл,мелодрама",42-я улица,1933
,Александр Галибин,"детектив, / ,триллер",40,2007
Венгрия,Карой Макк,"исторический фильм, военный, экранизация",39-я бригада,1959
,Кан Джегю,"драма,боевик,военный",38-я параллель,2004
,Андрей Малюков,Фильм-катастрофа,34-й скорый,
,Чэнь Чжихуа,"боевик,комедия,драма",36 безумных кулаков,
,Дени Вильнёв,"драма,, ,мелодрама", ,1998
,Патрисия Ригген,драма,33,2015
,Александр Муратов,"комедия,, ,фантастика",32 декабря,2004
,Ригоберто Кастаньеда,"ужасы,, ,мистика",31-й километр,2006
,Леонид Квинихидзе,"музыкальный фильм, (,мюзикл,), ,фэнтези",31 июня,1978
,Ли Рой Майерс,порнофильм,30 Rock: A XXX Parody,
,Роб Зомби,Фильм ужасов,31,2016
,Татьяна Капитан,"комедия,мелодрама",30 свиданий,2016
,Крэйг Мосс,"комедийный, ,фильм ужасов",30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,2012
,Бен Кетай,"триллер, / ,фильм ужасов",30 дней ночи: Тёмные времена,2010
,Питер Хатчингс,независимый кинематограф,30 безумных желаний,
,Андерс Банке,"фильм ужасов,комедия",30 дней до рассвета,2006
,Джордж Галло,"комедия,драма",29-я улица,1991
,Дэвид Слейд,"ужасы,драма,триллер",30 дней ночи,2007
,Брюно Дюмон,"драма,роуд-муви",29 пальм,2003
,Леонид Андронов,"драма,,, ,музыкальный фильм",29 Километр,2012
,Бетти Томас,"драма,, ,комедия",28 дней,2000
,Хуан Карлос Фреснадильо,"постапокалиптический, ,фильм ужасов",28 недель спустя,2007
,Уильям Эшер,научная фантастика,27-й день,1957
,Нана Джорджадзе,"комедия,драма,мелодрама",27 украденных поцелуев,2000
,Дэнни Бойл,"постапокалиптический, ,фильм ужасов,Музыка к фильму",28 дней спустя,2002
,Иван Качалин,документальный,27 Секунд памяти,2019
,Энн Флетчер,романтическая комедия,27 свадеб,2008
,Спайк Ли,"криминальный фильм,драма",25-й час,2002
,Хуан Пабло Ребелья,Комедийная драма,25 ватт,2001
,Алоиз Бренч,"детективный фильм,, ,драма",24-25 не возвращается,1968
,Нэнси Савока,комедия,24 часа из жизни женщины,1999
,Джон Кассар,"боевик,драматический фильм,Музыка к фильму",24 часа: Искупление,
,Луис Мандоки,триллер,24 часа,2002
,Александр Атанесян,"боевик,драма",24 часа,2000
,Анна Зора Берашед,драматический фильм,24 недели,
,Аббас Киаростами,драматический фильм,24 кадра,
,Ганс-Христиан Шмидт,"триллер, / ,драма","23 - Всё не то, чем кажется",1998
,Ришар Берри,"триллер,, ,детектив",22 пули: Бессмертный,2010
,Василий Сериков,боевик,22 минуты,2014
,Питер Берг,"боевик,, ,триллер",22 мили,2018
,Пол Гринграсс,Драма,22 июля,2018
,Арно Ларье,комедия,21 ночь с Патти,2015
,Брайан Кирк,"драма,триллер,детектив",21 мост,2019
,Алехандро Гонсалес Иньярриту,Драма,21 грамм,2003
,Александр Горновский,"драма,комедия",20 сигарет,2007
,Джон Лукас,комедия,21 и больше,2013
,Эстибалис Урресола Солагурен,"драматический фильм,ЛГБТ-фильм,[d]",20 тысяч разновидностей пчёл,
,Рамон Саласар,"комедия,мюзикл",20 сантиметров,2005
,Натан Юран,"научно-фантастический фильм,фильм о монстрах,фильм-катастрофа,приключенческий фильм,фэнтезийный фильм,фильм ужасов",20 миллионов миль до Земли,
,Мстислав Чернов,"документальный фильм,военный фильм",20 дней в Мариуполе,2023
,Род Харди,"криминальный фильм,драма,триллер",20 000 лье под водой,1997
,Григорий Никулин,исторический фильм,20-е декабря,1981
,Стюарт Патон,фантастика,20 000 лье под водой,1916
,Ричард Флейшер,"драма,, ,стимпанк,, ,приключенческий фильм",20 000 лье под водой,1954
,Айан Форсайт,"документальный,музыкальный",20 000 дней на Земле,2014
США,Тамара Олсон,комедия,18-летняя девственница,2008
,Майкл Кёртис,"Криминальная мелодрама,Тюремная драма",20 000 лет в Синг-Синге,1932
,Андрес Пуустусмаа,"исторический, ,детектив,приключение",18-14,2007
,Ким Джи Хун,"боевик,драма,военный,история",18 мая,2007
Казахстан,Фархат Шарипов,драма,18 килогерц,2021
,Дельфин Кулин,драма,17 девушек,2011
,Джозеф Го,"боевик,драма",18 бронзовых бойцов,
